table_name,column_name,data_type,total_rows,distinct_count,null_count,null_pct,min_value,max_value,sample_values
bank_receipt_from_pg,S.no,DOUBLE,358,306,52,14.5,1.0,99.0,7.0 | 36.0 | 58.0
bank_receipt_from_pg,Transaction,TIMESTAMP_NS,358,355,0,0.0,2025-04-02 00:00:00,2026-03-24 00:00:00,2025-04-06 00:00:00 | 2025-04-15 00:00:00 | 2025-05-06 00:00:00
bank_receipt_from_pg,Month,VARCHAR,358,12,0,0.0,Apr-25,Sep-25,Nov-25 | Jan-26 | Dec-25
bank_receipt_from_pg,Transaction Remarks,VARCHAR,358,358,0,0.0,AXNPNXXXXXXX0578,UTIBHXXXXXXX9986,RTGS/UTIBH25110000691/PAYTM PAYMENTS SERVICES LIMI/                    | RTGS/UTIBH25111000710/PAYTM PAYMENTS SERVICES LIMI/                    | RTGS/UTIBH25118000956/PAYTM PAYMENTS SERVICES LIMI/                   
bank_receipt_from_pg,Payment Gateway,VARCHAR,358,1,0,0.0,01 Paytm-Wallet (WIOM Gold),01 Paytm-Wallet (WIOM Gold),01 Paytm-Wallet (WIOM Gold)
bank_receipt_from_pg,Deposit Amt(INR),DOUBLE,358,358,0,0.0,1011765.41,843151.56,1210065.94 | 1083162.76 | 1028425.25
juspay_refunds,customer_id,VARCHAR,20179,18915,0,0.0,1111151719,9999985854,9910579068_1747488343 | 8860192329_1757322821 | 9927476815
juspay_refunds,txn_uuid,VARCHAR,20179,20172,0,0.0,moz213pYUHAo6acVWkf,mozzxpYLfXQ8r41wHGD,mozPS3JThLP8kq9SXFt | mozQp73AosjKjc3ZRT1 | mozwvshtiwJrbA4SnTE
juspay_refunds,refund_initiated_by,VARCHAR,20179,9,0,0.0,API,wiom_sonu_thapa,wiom_shail | wiom_rutuj | AUTO_REFUNDED
juspay_refunds,order_amount,BIGINT,20179,264,0,0.0,10,90,463 | 1380 | 17
juspay_refunds,order_created,VARCHAR,20179,20108,0,0.0,2025-02-13T13:50:33,2026-02-28T18:43:30,2025-11-17T06:45:50 | 2025-11-25T13:02:00 | 2025-11-16T11:29:25
juspay_refunds,order_id,VARCHAR,20179,20172,0,0.0,cusSubs_6206807578_189515389_0,wgSubs_8851743971_186744617_1,custGen_8130846524_185481267_0 | custWgSubs_9910579068_186624171_0 | custGen_9266141967_186665035_0
juspay_refunds,currency,VARCHAR,20179,1,0,0.0,INR,INR,INR
juspay_refunds,order_status,VARCHAR,20179,1,0,0.0,SUCCESS,SUCCESS,SUCCESS
juspay_refunds,order_type,VARCHAR,20179,3,0,0.0,MANDATE_PAYMENT,ORDER_PAYMENT,MANDATE_PAYMENT | MANDATE_REGISTER | ORDER_PAYMENT
juspay_refunds,payment_gateway,VARCHAR,20179,4,0,0.0,PAYTM_V2,RAZORPAY,RAZORPAY | PAYTM_V2 | PAYU
juspay_refunds,payment_method_subtype,VARCHAR,20179,4,48,0.2,MANDATE,UPI_QR,UPI_COLLECT | UPI_QR | MANDATE
juspay_refunds,refund_amount,BIGINT,20179,382,0,0.0,10,96,555 | 442 | 175
juspay_refunds,refund_arn,DOUBLE,20179,20166,5,0.0,1.2345660225346e+22,995027103375.0,533504872659.0 | 533506215630.0 | 533506219759.0
juspay_refunds,refund_date,VARCHAR,20179,19091,0,0.0,2025-12-01T00:05:40,2026-02-28T23:31:18,2025-12-01T00:22:26 | 2025-12-01T06:24:58 | 2025-12-01T11:26:41
juspay_refunds,pg_error_message,VARCHAR,20179,4,0,0.0,Refund Request Queued,processed,SUCCESS | Refund Request Queued | Refund Successfull
juspay_refunds,refund_ref_id,VARCHAR,20179,20179,0,0.0,100000025538,wgSubs_8279563871_193397416_1_1771346260994,custWgSubs_8178064514_186619378_0_1764553176014 | 533500310705 | erf017042e363e44e2a9
juspay_refunds,pg_error_code,VARCHAR,20179,5,0,0.0,10,processed,SUCCESS | 102 | processed
juspay_refunds,refund_rrn,VARCHAR,20179,18983,1195,5.9,22472317746,pay_SJQogfiNo2blyT,533504195784 | 533504872659 | 533506043938
juspay_refunds,refund_success_at,VARCHAR,20179,19066,0,0.0,2025-12-01T00:22:13,2026-03-01T19:27:24,2025-12-01T00:52:58 | 2025-12-01T06:33:34 | 2025-12-01T10:06:56
juspay_refunds,refund_total_amount,BIGINT,20179,378,0,0.0,10,96,555 | 442 | 175
juspay_refunds,refund_type,VARCHAR,20179,1,0,0.0,STANDARD,STANDARD,STANDARD
juspay_refunds,refund_unique_id,VARCHAR,20179,20179,0,0.0,ARnQTTxPMLCunc1v,wgSubs_8279563871_193397416_1_1771346260994,custGen_8527998315_186328327_1_1764531766401 | custGen_9891755424_186298776_1_1764559775179 | custGen_9717375970_186659940_1_1764563516300
juspay_refunds,refund_updated,VARCHAR,20179,19156,0,0.0,2025-12-01T00:22:13,2026-03-02T12:04:01,2025-12-01T01:14:42 | 2025-12-01T07:42:44 | 2025-12-01T12:06:44
juspay_refunds,refund_status,VARCHAR,20179,2,0,0.0,PENDING,SUCCESS,SUCCESS | PENDING
juspay_refunds,refund_txn_id,VARCHAR,20179,20172,0,0.0,wiom-cusSubs_6206807578_189515389_0-1,wiom-wgSubs_8851743971_186744617_1-1,wiom-custGen_8570084519_185480350_0-1 | wiom-custGen_7042075567_185481257_0-1 | wiom-custWgSubs_8383078663_186625582_0-1
juspay_refunds,txn_status,VARCHAR,20179,2,0,0.0,AUTO_REFUNDED,CHARGED,AUTO_REFUNDED | CHARGED
juspay_refunds,refund_irn,VARCHAR,20179,20179,0,0.0,hs_0003556348034a83889f2dfbf786e53f,hs_fff86ce49fb04dfcbc5587cbcbe0a8ec,hs_36a929c4b7a34e70b058ab8820582c07 | hs_16d5dcf3e9654c5f9fedd69444b6fa26 | hs_a959cad887254e6ba8eadf6680bc28b9
juspay_refunds,udf2,VARCHAR,20179,2,1086,5.4,prod,stage,stage | prod
juspay_refunds,udf3,VARCHAR,20179,6,1154,5.7,Booking,WiomNet,WiomNet | Installation | Mobile_Recharges
juspay_refunds,udf4,VARCHAR,20179,6,1179,5.8,App,Web_Link,Web_Link | UPI_Apps | UPI_APPS
juspay_transactions,order_type,VARCHAR,1096610,3,0,0.0,MANDATE_PAYMENT,ORDER_PAYMENT,MANDATE_PAYMENT | MANDATE_REGISTER | ORDER_PAYMENT
juspay_transactions,return_url,VARCHAR,1096610,322,0,0.0,https://ott.wiom.in/afterpayment?mobile=6201358356&amount=14&name=Aladdin&phoneNumber=6201358356&pla,https://www.i2e1.in/wiom/JusPayResponse,https://www.i2e1.in/wiom/JusPayResponse | https://ott.wiom.in/afterpayment?mobile=9716714349&amount=12&name=Suhaib Idrishi | https://ott.wiom.in/afterpayment?mobile=9263466766&amount=7&name=Mithlesh Kumar 
juspay_transactions,customer_id,VARCHAR,1096610,352346,0,0.0,+44919717958126,9999999645,7557628330 | 8447893710 | 8826876791
juspay_transactions,debit_amount,DOUBLE,1096610,571,956084,87.2,1.0,992.0,564.0 | 450.0 | 486.0
juspay_transactions,status_sync_source,VARCHAR,1096610,6,32,0.0,ASN_FORCE_SYNC_V1,WEBHOOKS,WEBHOOKS | TRANSACTION | CRON_SYNC
juspay_transactions,epg_txn_id,VARCHAR,1096610,1096583,27,0.0,20251201210320000202040936785159486,wiom-custWgSubs_9953109763_193894856_0-1,20251201210420000202089181833355318 | 20251201210440000202257250732335072 | 20251201210360000202248425115083792
juspay_transactions,txn_object_type,VARCHAR,1096610,3,0,0.0,EMANDATE_PAYMENT,ORDER_PAYMENT,EMANDATE_PAYMENT | EMANDATE_REGISTER | ORDER_PAYMENT
juspay_transactions,txn_detail_id,BIGINT,1096610,1096610,0,0.0,29255728089,31205159682,29838720117 | 29841954840 | 29841964478
juspay_transactions,txn_uuid,VARCHAR,1096610,1096610,0,0.0,moz211E9Cz6f2bS8nrx,mozzzvveMskNqUqVYwf,moz6NfeUhFqcG9J2oNG | mozgXwi5ZY1VVZGWmgu | mozxswQzJw28DffarFV
juspay_transactions,payment_status,VARCHAR,1096610,2,0,0.0,PENDING,SUCCESS,SUCCESS | PENDING
juspay_transactions,effective_txn_amount,DOUBLE,1096610,932,0,0.0,1.0,998.0,492.0 | 50.0 | 600.0
juspay_transactions,order_amount,DOUBLE,1096610,932,0,0.0,1.0,998.0,425.0 | 35.0 | 492.0
juspay_transactions,amount,DOUBLE,1096610,932,0,0.0,1.0,998.0,492.0 | 50.0 | 600.0
juspay_transactions,juspay_txn_id,VARCHAR,1096610,1096610,0,0.0,wiom-cusSubs_6000171008_189587686_0-1,wiom-wiomWall_9999862747_188371427_1-2,wiom-custGen_8076383685_192703936_0-1 | wiom-w_8595148467_192729376_0-1 | wiom-w_7678196208_192624249_0-1
juspay_transactions,order_uuid,VARCHAR,1096610,1096601,0,0.0,ordeh_00000ebbb308443d864eb3af98895873,ordeh_fffff9000dbd4d5face2acdd83585be4,ordeh_a92b62164f6b4e2b9ff7907bf98ce2a0 | ordeh_1e185bb43a1f4355a5c94750f281d240 | ordeh_e46bf9b9673c42c08f2ef3fa548b848e
juspay_transactions,order_id,VARCHAR,1096610,1096601,0,0.0,cusSubs_6000171008_189587686_0,wiomWall_9999862747_188371427_1,w_9217054903_193597186_1 | w_9279458604_193491301_1 | w_7988172790_193516749_0
juspay_transactions,preferred_gateway,VARCHAR,1096610,1,1096276,100.0,PAYTM_V2,PAYTM_V2,PAYTM_V2
juspay_transactions,payment_gateway,VARCHAR,1096610,4,3,0.0,PAYTM_V2,RAZORPAY,PAYTM_V2 | PHONEPE | RAZORPAY
juspay_transactions,payment_flow,VARCHAR,1096610,10,1,0.0,CARD_3DS,SILENT_RETRY,SILENT_RETRY | QR | INTENT
juspay_transactions,txn_last_modified,VARCHAR,1096610,997767,0,0.0,2025-12-01T00:00:14,2026-03-02T10:28:01,2025-12-01T02:57:44 | 2025-12-01T05:51:42 | 2025-12-02T04:17:35
juspay_transactions,txn_flow_type,VARCHAR,1096610,6,0,0.0,CARD_TRANSACTION,REDIRECT_DEBIT,REDIRECT_DEBIT | QR | INTENT
juspay_transactions,txn_conflict,VARCHAR,1096610,3,52,0.0,CONFLICTED,RESOLVED,CONFLICTED | MATCH | RESOLVED
juspay_transactions,order_status,VARCHAR,1096610,4,0,0.0,AUTHORIZING,SUCCESS,SUCCESS | PENDING_AUTHENTICATION | AUTHORIZING
juspay_transactions,actual_payment_status,VARCHAR,1096610,5,0,0.0,AUTHORIZING,STARTED,AUTO_REFUNDED | STARTED | PENDING_VBV
